curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7257109004739336,['H2FV3', 'H2DS13', 'H2FS8', 'H2PF14', 'H1PF14', 'H2TO1', 'H2ED16', 'H2PF1', 'H2DS6', 'H1RM14', 'H1DS5', 'H1FS11', 'H1WP10', 'H1ED19', 'H2PF21', 'H1WP5', 'H2FS2', 'PA56', 'H1PF14', 'H2WP5', 'H1ED24', 'H2DS1', 'H1FS16', 'H1ED15', 'H1PF24', 'H1DS11', 'H1PF1', 'H1WP7', 'H1FS3', 'H2ED12', 'H2PF16', 'H1TO9', 'S62M', 'H2TO11', 'H2WP14', 'H2DS5', 'S62P', 'H1TO3', 'H1FS8', 'H1GH19', 'H2PF17', 'H2ED15', 'H1IR12', 'H1DS13', 'PA21', 'H1DS10', 'H2FS19', 'H2PF5', 'H2WP3', 'H1FS1', 'H1GH52', 'H1PF16', 'H2WP7', 'H2PF29', 'H1TO12', 'H2PR5', 'H1FS7', 'H2FS5', 'H2GH25', 'H1FS12', 'H2WP10', 'H2FS12', 'H2FV5', 'H1TS3', 'H2PF9', 'H2EE12', 'H2TO26', 'H1PF31', 'H1FS15', 'H2PF23'],87,26,50
68,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
69,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
70,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
71,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
72,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
73,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
74,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
75,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
76,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
77,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
78,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
79,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
80,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
81,0.7304502369668247,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'H2WP10', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
82,0.7304502369668247,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'H2WP10', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
83,0.7304502369668247,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'H2WP10', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
84,0.7304502369668247,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'H2WP10', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
85,0.7304502369668247,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'H2WP10', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
86,0.7304502369668247,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'H2WP10', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
87,0.7304502369668247,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'H2WP10', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
88,0.7304502369668247,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'H2WP10', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
89,0.7304502369668247,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'H2WP10', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
90,0.7304502369668247,['H1FS4', 'H2TO30', 'H2PF4', 'S60K', 'H1PF1', 'H2FS19', 'H1PF30', 'H1GH17', 'H1IR12', 'H1FS10', 'H2TO27', 'H1WP3', 'H1DS14', 'H1ED15', 'H2PF16', 'H2PF15', 'H1ED24', 'H1GH18', 'H1PF32', 'H1RM14', 'H2FS5', 'H1ED17', 'H2ED14', 'S62M', 'H2FS15', 'H2WP10', 'S59E', 'H1PF7', 'H2PF16', 'H2DS9', 'H1FS8', 'H1ED20', 'H2DS12', 'H2EE12', 'S62R', 'S62B', 'S62Q', 'H2FS2', 'H2TO28', 'H1TO12', 'H2PF27', 'H1WP1', 'H2WP3', 'H2FV7', 'H2FS3', 'H2WP4', 'H2FV6', 'H2ED11', 'H2TO11', 'H2WP2', 'H1FS14', 'H2PF24', 'H1PF24', 'H1FS13', 'H2DS9', 'H1FS2', 'H2FS12', 'H2GH45', 'H1RF14', 'H2WP13', 'H1DS6', 'H1PF10', 'H1PF35', 'H1ED9', 'H1DS5', 'H2TO11', 'H1TO3', 'H2FS7', 'H2ED12', 'H2TO26'],79,28,24
